평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
1,4.3,5,-2.3,0,63.87499993,92,34,0.005,0.041,1,0.007
0.5,4,6.5,-2,0,58,77,50,0.004,0.053,0.7,0.007
0.9,4.5,6.1,-2.6,0,66.6,82,48,0.005,0.055,0.9,0.007
2,4.9,6.8,-4.8,0,54.57499993,78,34,0.004,0.061,1.2,0.009
2.1,6.6,8.5,-2.8,0,68.8,61,39,0.004,0.049,0.9,0.008
1.3,6.4,10,-2.9,0,71.2,88,34,0.004,0.06,0.9,0.004
0.9,3.9,5.5,0.8,0,51.3,71,27,0.009,0.035,0.8,0.008
2.2,6,7.2,0,0,59.6,49,32,0.011,0.04,0.8,0.007
1.2,4,4.7,-0.6,0,71.47499739,62,27,0.013,0.062,0.8,0.007
1.3,4.7,6.5,0.9,0,57.1,68,42,0.01,0.051,0.9,0.007
2.1,5.6,6.1,-1,0,67.93333333,59,27,0.012,0.046,0.9,0.009
0.7,3.7,6.3,0.7,0,50.8,54,37,0.011,0.042,0.6,0.006
1.8,6.6,7.8,1,0,59.9,68,29,0.008,0.053,0.8,0.005
1,3.2,4.9,-0.1,0,46.46666667,52,25,0.008,0.075,0.8,0.006
0.2,2.7,4.1,1.1,0,48.7,53,35,0.005,0.053,0.7,0.006
1.6,4.9,5.4,0.7,0,56.3,45,30,0.005,0.049,0.9,0.006
1.2,5,5.8,0.7,0,59,66,29,0.004,0.057,0.9,0.005
0.7,3.3,4.1,1.1,0,53.94166406,66,29,0.004,0.044,1.2,0.007
2.4,5.7,6.3,-0.8,0,50.43333333,52,24,0.005,0.056,1.1,0.007
1.1,3.3,4.8,0.6,0,55.3,61,40,0.006,0.051,0.9,0.006
3.5,6.1,6.9,1.6,0,42.63333333,44,22,0.01,0.044,0.9,0.008
0.7,2.6,3.6,3.2,0,56.63333333,59,24,0.004,0.037,0.8,0.008
2.2,5.6,6.6,3.4,0,49.4,53,25,0.004,0.044,0.9,0.005
1.7,5.1,6.7,2.9,0,47.7,39,26,0.009,0.04,0.8,0.007
0.9,3.4,4.5,2.2,0,43.1,45,22,0.014,0.05,0.8,0.006
0.3,2.8,4.4,4,0,39,49,33,0.007,0.042,0.5,0.006
2,4.9,5.9,3.4,0,46.3,42,28,0.014,0.035,0.5,0.005
0.9,3.4,4.4,1.7,0,60.56666667,48,24,0.006,0.032,0.8,0.006
1.8,6.2,6.9,2.5,0,64.1,44,25,0.002,0.052,1.7,0.005
2.1,5.6,19.9,1.1,0,64.9,37,27,0.009,0.04,0.9,0.006
1.1,3.4,4.5,0.7,0,52.8,46,27,0.01,0.035,0.9,0.005
2.7,5.5,6.6,0.7,0,36.63333333,41,22,0.01,0.046,1.1,0.007
0.9,3.8,5.8,2.5,0,55.8,38,27,0.008,0.038,0.5,0.005
1.4,4.6,5.8,2.6,0,60.6,38,28,0.01,0.043,0.7,0.005
1.9,4.1,5.2,-3.3,0,50.60711888,41,20,0.027,0.014,0.6,0.005
1.7,4.6,6,-2.3,0,32.3,39,25,0.024,0.016,0.3,0.004
3.1,6.3,7.3,-4.4,0,42.12753465,38,19,0.026,0.019,0.6,0.007
2.1,5,6.8,-1.6,0,35.5,42,27,0.023,0.022,0.5,0.005
1.6,3.7,4.7,-2.1,0,49.11898743,43,19,0.018,0.019,0.5,0.007
2.8,6.7,8.6,-1.7,0,38.4,44,21,0.008,0.026,1.2,0.005
3.7,7.3,9.1,-3.2,0,39.3,29,20,0.026,0.017,0.4,0.005
2.2,5.8,6.1,-4.2,0,33.4,46,17,0.014,0.025,0.6,0.007
2.2,5.8,6.1,-4.2,0,33.4,46,17,0.004,0.032,0.9,0.004
2.2,5.8,6.1,-4.2,0,33.4,38,21,0.019,0.022,0.3,0.003
2.2,5.8,6.1,-4.2,0,33.4,29,18,0.02,0.022,0.5,0.006
2.2,5.8,6.1,-4.2,0,33.4,42,24,0.02,0.027,0.5,0.005
2.2,5.8,6.1,-4.2,0,33.4,37,17,0.023,0.023,0.7,0.007
2.2,5.8,6.1,-4.2,0,33.4,40,17,0.025,0.014,0.6,0.005
2.1,5,5.9,-1.3,0,37.3,51,20,0.013,0.045,0.4,0.005
2.1,5,5.9,-1.3,0,37.3,43,26,0.014,0.033,0.4,0.006
2.1,5,5.9,-1.3,0,37.3,32,21,0.016,0.03,0.5,0.006
2.1,5,5.9,-1.3,0,37.3,47,20,0.018,0.025,0.7,0.006
2.1,5,5.9,-1.3,0,37.3,53,32,0.012,0.043,0.7,0.006
2.1,5,5.9,-1.3,0,37.3,49,20,0.009,0.034,0.6,0.007
2.1,5,5.9,-1.3,0,37.3,42,14,0.016,0.038,0.7,0.008
1.6,5.8,7,-1.7,0,52.4,55,26,0.011,0.039,0.9,0.006
1.6,5.8,7,-1.7,0,52.4,63,28,0.006,0.043,0.9,0.007
1.6,5.8,7,-1.7,0,52.4,58,40,0.009,0.054,0.6,0.007
1.6,5.8,7,-1.7,0,52.4,45,32,0.009,0.049,0.9,0.007
1.6,5.8,7,-1.7,0,52.4,65,42,0.008,0.058,1,0.006
1.6,5.8,7,-1.7,0,52.4,62,32,0.007,0.059,0.8,0.005
1.6,5.8,7,-1.7,0,52.4,54,24,0.009,0.063,1.1,0.009
2,6.3,8.8,0.8,0,54.1,63,30,0.014,0.045,0.7,0.005
2,6.3,8.8,0.8,0,54.1,53,27,0.017,0.029,0.8,0.006
2,6.3,8.8,0.8,0,54.1,64,30,0.009,0.036,0.9,0.007
2,6.3,8.8,0.8,0,54.1,56,40,0.015,0.042,0.6,0.006
2,6.3,8.8,0.8,0,54.1,50,25,0.016,0.045,0.9,0.008
2,6.3,8.8,0.8,0,54.1,67,45,0.014,0.052,1,0.008
2,6.3,8.8,0.8,0,54.1,45,33,0.014,0.038,0.8,0.007
1.9,6.4,8.6,-0.7,0,40.6,45,27,0.013,0.038,0.7,0.005
1.9,6.4,8.6,-0.7,0,40.6,52,20,0.016,0.04,0.3,0.005
1.9,6.4,8.6,-0.7,0,40.6,33,20,0.018,0.032,0.6,0.006
1.9,6.4,8.6,-0.7,0,40.6,44,17,0.021,0.024,0.6,0.006
1.9,6.4,8.6,-0.7,0,40.6,41,22,0.019,0.031,0.4,0.005
1.9,6.4,8.6,-0.7,0,40.6,52,21,0.012,0.032,0.7,0.008
1.9,6.4,8.6,-0.7,0,40.6,39,16,0.02,0.036,0.7,0.008
2,6.5,8.4,-0.9,0,39.9,54,31,0.016,0.026,0.6,0.005
2,6.5,8.4,-0.9,0,39.9,55,23,0.027,0.016,0.6,0.006
2,6.5,8.4,-0.9,0,39.9,58,23,0.015,0.024,0.7,0.008
2,6.5,8.4,-0.9,0,39.9,49,22,0.026,0.023,0.7,0.008
2,6.5,8.4,-0.9,0,39.9,58,23,0.024,0.025,0.2,0.004
2,6.5,8.4,-0.9,0,39.9,49,28,0.026,0.018,0.3,0.006
2,6.5,8.4,-0.9,0,39.9,38,24,0.024,0.021,0.5,0.006
1.7,5.5,6.9,-1.5,0,46.5,46,20,0.014,0.04,0.8,0.007
1.7,5.5,6.9,-1.5,0,46.5,34,23,0.016,0.029,0.6,0.006
1.7,5.5,6.9,-1.5,0,46.5,48,29,0.014,0.033,0.4,0.005
1.7,5.5,6.9,-1.5,0,46.5,47,20,0.013,0.025,0.6,0.007
1.7,5.5,6.9,-1.5,0,46.5,53,23,0.013,0.036,0.4,0.004
1.7,5.5,6.9,-1.5,0,46.5,48,23,0.015,0.026,0.7,0.005
1.7,5.5,6.9,-1.5,0,46.5,54,32,0.01,0.037,0.7,0.005
2.3,8.8,11.5,2,0,62.2,83,40,0.024,0.033,0.5,0.005
2.3,8.8,11.5,2,0,62.2,76,37,0.021,0.042,0.9,0.009
2.3,8.8,11.5,2,0,62.2,84,40,0.022,0.021,0.6,0.008
2.3,8.8,11.5,2,0,62.2,78,38,0.027,0.023,0.7,0.007
2.3,8.8,11.5,2,0,62.2,63,41,0.029,0.024,0.6,0.008
2.3,8.8,11.5,2,0,62.2,77,50,0.017,0.034,0.8,0.006
2.3,8.8,11.5,2,0,62.2,73,51,0.02,0.034,0.4,0.007
2.7,7.2,9.8,2.2,0,51.9,52,32,0.02,0.019,0.5,0.005
2.7,7.2,9.8,2.2,0,51.9,37,25,0.027,0.019,0.5,0.007
2.7,7.2,9.8,2.2,0,51.9,63,27,0.028,0.021,0.2,0.004
2.7,7.2,9.8,2.2,0,51.9,56,23,0.021,0.016,0.5,0.008
2.7,7.2,9.8,2.2,0,51.9,50,31,0.025,0.018,0.3,0.006
2.7,7.2,9.8,2.2,0,51.9,52,24,0.027,0.022,0.7,0.008
2.7,7.2,9.8,2.2,0,51.9,53,24,0.027,0.016,0.5,0.006
1.4,3.2,4.2,3.3,0,45.1,54,24,0.009,0.048,0.8,0.004
1.4,3.2,4.2,3.3,0,45.1,53,26,0.005,0.04,0.9,0.007
1.4,3.2,4.2,3.3,0,45.1,45,29,0.007,0.041,0.6,0.005
1.4,3.2,4.2,3.3,0,45.1,40,19,0.007,0.056,1,0.007
1.4,3.2,4.2,3.3,0,45.1,38,23,0.009,0.044,0.5,0.005
1.4,3.2,4.2,3.3,0,45.1,35,18,0.011,0.031,0.7,0.005
1.4,3.2,4.2,3.3,0,45.1,32,23,0.009,0.042,0.8,0.006
1.9,3.9,5.8,8,0,36.8,45,28,0.008,0.042,0.7,0.005
1.9,3.9,5.8,8,0,36.8,49,21,0.007,0.041,0.8,0.007
1.9,3.9,5.8,8,0,36.8,39,17,0.025,0.032,0.6,0.005
1.9,3.9,5.8,8,0,36.8,62,28,0.005,0.058,1,0.005
1.9,3.9,5.8,8,0,36.8,46,23,0.004,0.065,1.1,0.008
1.9,3.9,5.8,8,0,36.8,37,25,0.009,0.043,0.6,0.006
1.9,3.9,5.8,8,0,36.8,46,29,0.006,0.054,0.6,0.006
1.6,3.8,5.5,9.1,17,93.2,35,24,0.006,0.042,0.5,0.004
1.6,3.8,5.5,9.1,17,93.2,31,23,0.008,0.037,0.6,0.004
1.6,3.8,5.5,9.1,17,93.2,38,21,0.005,0.033,0.7,0.005
1.6,3.8,5.5,9.1,17,93.2,25,15,0.017,0.042,0.5,0.004
1.6,3.8,5.5,9.1,17,93.2,34,17,0.005,0.056,1.1,0.006
1.6,3.8,5.5,9.1,17,93.2,34,23,0.01,0.036,0.7,0.005
